ticks,ms,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1113,1113.000000,-11.072108,-11.056232,-11.011858,-10.969287,-10.868374,-10.791737,-10.799128,-10.765557,-10.702098,-10.763558,-10.812829,-10.898232,-10.940598,-11.033434,-11.147309,-11.184041,-11.261005,-11.239734,-11.185369,-11.160233,-10.971999,-10.800156,-10.531682,-10.179241,-9.932364,-9.597687,-9.377913,-9.163824,-9.119064,-9.102253,-9.297583,-9.739787,-10.141414,-10.755722,-11.437338,-12.184465,-12.849524,-13.329178,-13.423563,-13.095723,-11.936432,-9.841218,-6.065167,-2.112993,2.634580,6.910363,10.491500,13.160895,14.867537,15.374319,14.837501,13.215559,10.477438,6.892340,2.591290,-2.116838,-6.046633,-9.849561,-11.892551,-13.067965,-13.453839,-13.315909,-12.802389,-12.165805,-11.444022,-10.753780,-10.181722,-9.682817,-9.291500,-9.130578,-9.073784,-9.141963,-9.331909,-9.559012,-9.870240,-10.193482,-10.533443,-10.816119,-10.987959,-11.117672,-11.195637,-11.276727,-11.292523,-11.173545,-11.105524,-11.029953,-10.927507,-10.853163,-10.781576,-10.788524,-10.721121,-10.787704,-10.860117,-10.825073,-10.875908,-10.994821,-11.004104,-11.036651,-11.114472,-11.096574
1213,1213.000000,-11.104816,-11.079139,-11.019122,-10.902972,-10.912864,-10.834605,-10.783939,-10.787267,-10.746438,-10.783881,-10.789475,-10.879409,-10.917605,-11.029187,-11.117839,-11.225791,-11.306351,-11.251502,-11.208116,-11.111602,-11.009271,-10.753624,-10.561283,-10.232610,-9.884966,-9.613382,-9.354879,-9.181164,-9.046209,-9.129267,-9.315678,-9.648820,-10.123276,-10.751335,-11.476925,-12.203362,-12.848379,-13.296724,-13.427766,-13.062811,-11.891156,-9.864882,-6.096582,-2.189023,2.603471,6.788270,10.482756,13.162205,14.837404,15.359464,14.811480,13.225860,10.464786,6.898196,2.590358,-2.156279,-6.128628,-9.836915,-11.931402,-13.053025,-13.432498,-13.307313,-12.776055,-12.165351,-11.458634,-10.774688,-10.193099,-9.655850,-9.272985,-9.202742,-9.068474,-9.162219,-9.375184,-9.558790,-9.962371,-10.216274,-10.502739,-10.759329,-10.966417,-11.158691,-11.224069,-11.233288,-11.234127,-11.194881,-11.201625,-11.048469,-10.902985,-10.866219,-10.853852,-10.789207,-10.721249,-10.802868,-10.751678,-10.830433,-10.874612,-10.959780,-11.007563,-11.033719,-11.054602,-11.102337
1313,1313.000000,-11.106243,-11.049330,-10.967296,-10.978618,-10.855076,-10.870997,-10.813089,-10.790235,-10.777844,-10.768415,-10.776611,-10.872319,-10.915712,-11.008072,-11.135093,-11.200577,-11.237253,-11.230669,-11.232897,-11.102195,-11.004488,-10.717669,-10.551923,-10.258425,-9.924352,-9.663231,-9.354802,-9.167105,-9.061111,-9.113264,-9.329136,-9.615585,-10.154383,-10.773328,-11.410402,-12.188979,-12.773124,-13.308001,-13.449503,-13.063535,-11.913974,-9.918168,-6.167899,-2.269019,2.576486,6.789495,10.487065,13.174375,14.855757,15.424198,14.837740,13.181675,10.437303,6.843250,2.519543,-2.205445,-6.210316,-9.883210,-11.906617,-13.020592,-13.501037,-13.308420,-12.851922,-12.182745,-11.479985,-10.730410,-10.197399,-9.678349,-9.331737,-9.117041,-9.057536,-9.159509,-9.356928,-9.563997,-9.904475,-10.157656,-10.520865,-10.786041,-10.975435,-11.134194,-11.216339,-11.253920,-11.169069,-11.213868,-11.146541,-11.061487,-10.870715,-10.822365,-10.754629,-10.804988,-10.702729,-10.753675,-10.818421,-10.832084,-10.951703,-10.964878,-11.008861,-11.069612,-11.083134,-11.092131
1413,1413.000000,-11.047355,-11.048585,-11.014037,-10.930348,-10.882480,-10.842916,-10.746153,-10.798756,-10.742949,-10.783799,-10.808203,-10.890279,-10.890435,-11.016056,-11.129723,-11.256769,-11.222087,-11.256355,-11.231562,-11.134322,-10.976243,-10.774702,-10.576426,-10.158859,-9.941344,-9.567025,-9.386553,-9.126412,-9.065586,-9.054072,-9.302828,-9.670132,-10.160246,-10.750685,-11.418107,-12.173744,-12.846294,-13.303096,-13.473009,-13.017176,-11.885672,-9.842219,-6.235813,-2.280002,2.578122,6.844968,10.498641,13.216846,14.855492,15.381593,14.828179,13.199884,10.475581,6.850070,2.610693,-2.276992,-6.209977,-9.846354,-11.902568,-13.087389,-13.416912,-13.289225,-12.847674,-12.237334,-11.445915,-10.764359,-10.176834,-9.668518,-9.291092,-9.094556,-9.117294,-9.113444,-9.411787,-9.588813,-9.875372,-10.195359,-10.492198,-10.759815,-10.987160,-11.122912,-11.240586,-11.222856,-11.282950,-11.222889,-11.166526,-11.087606,-10.912477,-10.860941,-10.818770,-10.734140,-10.689807,-10.714935,-10.786534,-10.830108,-10.913706,-10.999705,-11.013281,-11.029454,-11.047432,-11.106965
1513,1513.000000,-11.074106,-11.060199,-11.002553,-10.912380,-10.862786,-10.839463,-10.816412,-10.742709,-10.724831,-10.683071,-10.820465,-10.825739,-10.982961,-11.003086,-11.109088,-11.194478,-11.251486,-11.257088,-11.246164,-11.143119,-11.011368,-10.778771,-10.526274,-10.229693,-9.910082,-9.624976,-9.360473,-9.138209,-9.061438,-9.135567,-9.349059,-9.651312,-10.151722,-10.811021,-11.441719,-12.204966,-12.815874,-13.282106,-13.448569,-13.047765,-11.919055,-9.897438,-6.280341,-2.343448,2.610710,6.811119,10.439674,13.161429,14.830690,15.402413,14.794967,13.165731,10.420248,6.827306,2.615328,-2.326473,-6.270824,-9.781959,-11.903068,-13.086622,-13.438939,-13.319186,-12.793654,-12.223916,-11.477950,-10.773179,-10.124999,-9.697961,-9.309937,-9.072975,-9.053794,-9.207055,-9.372436,-9.611846,-9.841909,-10.207999,-10.447077,-10.767210,-10.991525,-11.171903,-11.227714,-11.268403,-11.283561,-11.198596,-11.155319,-11.049135,-10.940590,-10.887488,-10.827513,-10.712220,-10.755956,-10.730398,-10.772116,-10.815745,-10.914329,-10.998284,-11.028261,-11.047302,-11.046979,-11.086682
